,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20200721,11.828254857492956,-13.323389905493048,14.716595146659591,23.703368168966257,21.33445355714487,19.992228938368314,-12.051058411627844,0.0,20.92398101495176,21.453687707174765,9.823242454626454,15.72589263312637,16.00642684287891,-6.875661793785896,13.465003310602855
20200722,11.840571025863994,-13.312879802126528,14.986237227208731,23.888201320303878,21.76470530538834,19.723909718391702,-12.243569850666493,0.0,21.056858726096227,20.133440951354,9.837356803828765,15.890009893490632,16.196739517535516,-2.951440688141348,13.437513354856511
20200723,11.83589352496192,-13.156143741326861,15.124448391331647,23.75324609808733,22.02014607001533,18.68390244556922,-12.36571957013609,0.0,21.144294699012587,19.030285549977098,9.780901013754582,16.076228352056006,16.36099922185604,0.23625891522980946,13.40503983531863
20200724,11.831435628635095,-12.998067430153228,15.23144429107133,23.47821547633243,22.162647705148295,17.807996756553422,-12.475623393050816,0.0,20.970276741558592,17.967857172465955,9.735774054052085,16.233605407895617,16.46187145944514,2.8838543100015035,13.343576532896888
20200727,12.051369769241893,-12.873582876920038,15.673976351403926,23.042856169565887,22.167963305468223,17.03660955564764,-12.474982741669736,0.0,20.908640549657473,17.24947408917518,10.065076894167767,16.49586813815519,13.404161666883432,5.001130991600824,13.843313234585112
20200728,12.234882634138645,-12.787714485962118,15.137608111488154,22.436880246718975,22.169427174187454,16.26935341874623,-12.386926778457228,0.0,20.03764856690854,16.659662804535394,10.118078188011006,16.07738221938111,14.495307888599845,6.250151166737837,14.009736599265846
20200729,12.314499761362125,-12.675550365593333,14.884299360911836,21.782547627243158,22.189483182425903,15.642196112144864,-12.353088502135364,0.0,19.774954066562266,16.168903528125274,10.207182790152919,15.981062827663626,15.388738204697843,6.954846732574273,14.018769326134647
20200730,12.404884365101166,-12.740293409124492,14.732144622307203,21.231957073327777,22.322176814698583,15.126434811617163,-12.313661301693319,0.0,19.533003450618388,15.741094770356856,10.269875109664829,15.840554631129532,16.14408104912151,7.525690293257638,13.959731711603853
20200731,12.602462150912803,-12.777070080989423,14.609448875033527,20.723998780843015,22.428662572956757,14.711527438954295,-12.313597918300742,0.0,19.32416542801649,15.3926423188865,10.301905425816788,15.706046217610714,13.138546507848893,7.954956013652653,13.869777705099338
20200803,12.758043398051209,-12.822655918887524,14.447612810072092,20.300926848329123,22.417890932911394,14.368703397026588,-12.08376306699498,0.0,19.184967826703954,14.913386174164435,10.237593717822858,15.595029738352151,10.678656333887055,8.174997575859345,13.618423203681337
20200804,12.99894101356402,-12.822008454479526,14.418479248890868,19.979539025632352,22.42045915015889,14.061972380659855,-11.904872098837235,0.0,19.040557686073278,14.530707024828526,10.290533441207954,12.70926761630774,8.666172660237853,8.307608260825456,13.590221202703495
